subject,structure,dice_before,dice_after,delta,voxels_removed,vol_pred_ml,vol_gt_ml
amos_0001,adrenal_gland_left,0.5665,0.5665,0.0,0,3.27,5.27
amos_0001,adrenal_gland_right,0.4654,0.4654,0.0,0,1.84,2.57
amos_0001,aorta,0.9129,0.9129,0.0,0,100.94,103.7
amos_0001,duodenum,0.4392,0.4392,0.0,0,45.68,36.2
amos_0001,esophagus,0.8191,0.8191,0.0,0,11.12,12.54
amos_0001,gallbladder,0.5949,0.5949,0.0,0,5.66,9.66
amos_0001,inferior_vena_cava,0.7087,0.7087,0.0,0,51.89,69.88
amos_0001,kidney_left,0.9105,0.9105,0.0,0,163.42,166.7
amos_0001,kidney_right,0.9061,0.9061,0.0,0,142.97,150.83
amos_0001,liver,0.9562,0.9562,0.0,0,1409.28,1461.92
amos_0001,pancreas,0.676,0.676,0.0,0,46.05,37.58
amos_0001,spleen,0.9231,0.9231,0.0,0,226.24,242.54
amos_0001,stomach,0.9087,0.9087,0.0,0,408.24,458.19
amos_0001,urinary_bladder,0.8062,0.8062,0.0,0,90.9,65.78
amos_0004,adrenal_gland_left,0.6549,0.6549,0.0,0,1.68,2.82
amos_0004,adrenal_gland_right,0.6548,0.6548,0.0,0,1.7,2.06
amos_0004,aorta,0.8936,0.8936,0.0,0,43.83,44.96
amos_0004,duodenum,0.6543,0.6543,0.0,0,37.18,34.09
amos_0004,esophagus,0.6888,0.6888,0.0,0,4.45,6.21
amos_0004,gallbladder,0.8197,0.8197,0.0,0,14.69,18.57
amos_0004,inferior_vena_cava,0.8735,0.8735,0.0,0,61.13,66.63
amos_0004,kidney_left,0.9382,0.9382,0.0,0,116.09,120.35
amos_0004,kidney_right,0.9283,0.9283,0.0,0,109.68,113.6
amos_0004,liver,0.9486,0.9486,0.0,0,771.92,794.82
amos_0004,pancreas,0.7287,0.7287,0.0,0,44.16,50.02
amos_0004,spleen,0.9231,0.9231,0.0,0,66.45,71.77
amos_0004,stomach,0.8948,0.8948,0.0,0,154.27,172.95
amos_0004,urinary_bladder,0.5674,0.5674,0.0,0,59.3,26.44
